,DBN,year,Q1_funding_sources,Q2_label,Q3_label,Unnamed,school_name,grade,category,number_tested,mean_scale_score,level_1,level_1_1,level_2,level_2_1,level_3,level_3_1,level_4,level_4_1,level_3_4,level_3_4_1
2534,15K107,2019,1,insufficient,same,15K107All Grades2019All Students,P.S. 107 JOHN W. KIMBALL,All Grades,All Students,239,618.1380615,5.0,2.092050314,22.0,9.205020905,68.0,28.45188332,144.0,60.25104523,212.0,88.70292664
2535,15K118,2019,0,insufficient,same,15K118All Grades2019All Students,THE MAURICE SENDAK COMMUNITY SCHOOL,All Grades,All Students,115,613.6260986000001,4.0,3.478260756,20.0,17.39130402,28.0,24.347826,63.0,54.78260803,91.0,79.13043213
2536,15K124,2019,2,insufficient,same,15K124All Grades2019All Students,P.S. 124 SILAS B. DUTCHER,All Grades,All Students,95,601.0947266,20.0,21.05263138,31.0,32.63158035,21.0,22.10526276,23.0,24.21052551,44.0,46.31578827
2537,15K130,2019,3,sufficient,same,15K130All Grades2019All Students,P.S. 130 THE PARKSIDE,All Grades,All Students,297,604.4411011,37.0,12.45791245,83.0,27.94612885,107.0,36.02693558,70.0,23.56902313,177.0,59.59595871
2538,15K131,2019,3,sufficient,same,15K131All Grades2019All Students,P.S. 131 BROOKLYN,All Grades,All Students,453,606.1810303,66.0,14.56953621,114.0,25.16556358,126.0,27.81456947,147.0,32.45033264,273.0,60.26490021
2539,15K136,2019,3,sufficient,same,15K136All Grades2019All Students,I.S. 136 CHARLES O. DEWEY,All Grades,All Students,494,587.9048462000001,291.0,58.90688324,134.0,27.12550545,57.0,11.53846169,12.0,2.429149866,69.0,13.96761131
2540,15K146,2019,1,insufficient,decreased,15K146All Grades2019All Students,"THE BROOKLYN NEW SCHOOL, P.S. 146",All Grades,All Students,22,602.1818237000001,4.0,18.18181801,5.0,22.72727203,6.0,27.27272797,7.0,31.81818199,13.0,59.09090805
2541,15K154,2019,1,sufficient,same,15K154All Grades2019All Students,THE WINDSOR TERRACE SCHOOL,All Grades,All Students,234,608.7991333,22.0,9.401709557,48.0,20.5128212,80.0,34.18803406,84.0,35.89743423,164.0,70.08547211
2542,15K169,2019,1,insufficient,decreased,15K169All Grades2019All Students,P.S. 169 SUNSET PARK,All Grades,All Students,635,599.5496216,175.0,27.55905533,154.0,24.25196838,161.0,25.35433006,145.0,22.83464622,306.0,48.18897629
2543,15K172,2019,2,sufficient,same,15K172All Grades2019All Students,P.S. 172 BEACON SCHOOL OF EXCELLENCE,All Grades,All Students,221,622.7149048,0.0,0.0,8.0,3.619909525,36.0,16.28959274,177.0,80.09049988,213.0,96.38008881
2544,15K230,2019,4,insufficient,same,15K230All Grades2019All Students,P.S. 230 DORIS L. COHEN,All Grades,All Students,497,604.5452881,94.0,18.91348076,111.0,22.33400345,125.0,25.15090561,167.0,33.60160828,292.0,58.75251389
2545,15K261,2019,2,abundant,same,15K261All Grades2019All Students,P.S. 261 PHILIP LIVINGSTON,All Grades,All Students,161,601.4037476,29.0,18.01242256,44.0,27.32919312,50.0,31.05590057,38.0,23.60248375,88.0,54.65838623
2546,15K295,2019,3,insufficient,increased,15K295All Grades2019All Students,P.S. 295,All Grades,All Students,162,608.8950806,13.0,8.024691582,31.0,19.13580322,54.0,33.33333206,64.0,39.50617218,118.0,72.83950806
2547,15K321,2019,1,insufficient,same,15K321All Grades2019All Students,P.S. 321 WILLIAM PENN,All Grades,All Students,482,615.755188,12.0,2.489626646,52.0,10.78838158,135.0,28.00829887,283.0,58.71369171,418.0,86.72199249
2548,15K442,2019,2,sufficient,same,15K442All Grades2019All Students,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,All Grades,All Students,203,608.3793335,24.0,11.82266045,52.0,25.61576271,56.0,27.58620644,71.0,34.9753685,127.0,62.56157684
2549,15K443,2019,0,insufficient,decreased,15K443All Grades2019All Students,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,All Grades,All Students,435,616.1517334,28.0,6.436781406000001,65.0,14.94252872,117.0,26.89655113,225.0,51.72413635,342.0,78.62068939
2550,15K447,2019,2,abundant,same,15K447All Grades2019All Students,THE MATH & SCIENCE EXPLORATORY SCHOOL,All Grades,All Students,305,616.0524292,8.0,2.6229507919999997,47.0,15.40983582,112.0,36.72130966,138.0,45.24590302,250.0,81.96721649
2551,15K448,2019,1,insufficient,same,15K448All Grades2019All Students,BROOKLYN COLLABORATIVE STUDIES,All Grades,All Students,68,586.5441284,37.0,54.41176605,17.0,25.0,12.0,17.64705849,2.0,2.9411764139999996,14.0,20.58823586
2552,15K464,2019,0,insufficient,same,15K464All Grades2019All Students,PARK SLOPE COLLEGIATE,All Grades,All Students,128,598.03125,46.0,35.9375,31.0,24.21875,29.0,22.65625,22.0,17.1875,51.0,39.84375
2553,15K497,2019,2,insufficient,decreased,15K497All Grades2019All Students,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,All Grades,All Students,298,605.3758545,58.0,19.46308708,62.0,20.80536842,92.0,30.872482300000005,86.0,28.85906029,178.0,59.73154449
2554,15K516,2019,3,sufficient,same,15K516All Grades2019All Students,SUNSET PARK AVENUES ELEMENTARY SCHOOL,All Grades,All Students,172,595.1685791,63.0,36.6279068,48.0,27.906976699999998,37.0,21.5116272,24.0,13.95348835,61.0,35.46511459
2555,15K676,2019,1,insufficient,same,15K676All Grades2019All Students,RED HOOK NEIGHBORHOOD SCHOOL,All Grades,All Students,77,585.0519409,40.0,51.94805145,21.0,27.27272797,9.0,11.68831158,7.0,9.090909004,16.0,20.77922058
2556,15K821,2019,1,insufficient,same,15K821All Grades2019All Students,SUNSET PARK PREP,All Grades,All Students,430,600.2628174,129.0,30.0,140.0,32.5581398,94.0,21.860466,67.0,15.58139515,161.0,37.4418602
