DBN,School Name_x,Year_x,% Level 3+4_x,Full Time_x,School Name_y,Year_y,% Level 3+4_y,Full Time_y
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,20.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,50.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,9.1,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,41.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,37.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,20.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,50.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,9.1,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,4.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,37.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,20.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,50.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,9.1,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,15.8,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,37.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,20.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,50.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,9.1,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,36.0,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,37.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,20.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,50.0,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,17.4,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,9.1,1.0
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2017,16.7,0.0,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,2018,37.0,1.0
03M421,WEST PREP ACADEMY,2017,16.9,0.0,WEST PREP ACADEMY,2018,31.1,1.0
